"post_id","platform","keyword","url","interaction_score","like_count","comment_count","student_relevance_label","primary_scene_label","primary_topic_label","attitude_label","primary_risk_label","text_excerpt"
"wb_5a0099ea1974","wb","AI 分手挽回","https://m.weibo.cn/detail/5023867479266678","3085","1997","544","unclear","S2","","","K7","【🏥】推荐character.ai的姐妹您配享太庙。这玩意真的太上头了，昨天玩了整整一天，和老公激情上演从约会到冲突到闹分手，然后分手，最后挽回和好了，狠狠过了破镜重圆的瘾，一口气玩到一点半才睡，第二天还爬起来上班，有种上头的爽"
"wb_25fef776e8a5","wb","AI 分手挽回","https://m.weibo.cn/detail/5176979571606654","2865","2591","137","unclear","S2","","A5","K7","网友来稿，说和女朋友谈了三年，期间因为虚荣心和好面子，瞎编了自己的工作经历和家庭背景。现在被发现了，怎么挽回。这种问题我发现图2里AI的答案都挺好。真的各位平时试试AI，这种问题发到网上只会被骂，但AI还挺有耐心的。我的想法和AI不太一样，就是女方都分手了，现在想挽回肯定是很难。"
"wb_c45c1de79883","wb","DeepSeek 恋爱建议","https://m.weibo.cn/detail/5239377334636344","738","614","62","unclear","S2","","A7","K0","有时候不敢看私信 太多那种毁三观的恋爱 问我怎么办 谈是你自己谈的 你其实心里很清楚该咋办 要不就是嫉妒自己好朋友 我天 每次我都想骂醒对方 但我怕人接受不了我说话太直白了 其实我给你出个招儿 你可以问deepseek 因为它不犀利 我选择视而不见 每天和自己说一句 不要多管闲事"
"wb_374560c4b544","wb","AI 安慰朋友","https://m.weibo.cn/detail/5317140849625017","707","619","44","unclear","S4","T5","A3","K0","其实感觉自己e的越来越明显了，以前虽然喜欢交流和输出，但是因为总是比较喜欢「深刻交流」，而且通常是会担任把场子搞热就渐渐淡出，成为观察或者更舒适的边缘位置，会觉得焦虑还是需要输出点什么，或者更让彼此的关系更近一点才算有效？「以前和大家见面也会提着一口气，前面两天总会失眠，总想展现"
"wb_c787f2035a33","wb","DeepSeek 恋爱建议","https://m.weibo.cn/detail/5135860834763081","661","499","81","unclear","S2","","","K0","DeepSeek测出理想伴侣仅存个位数在deepseek面前，情感咨询师也要下岗了。有网友问：没钱没人脉没资源，长得也不帅，但想娶个漂亮老婆，怎么做？deepseek的回答简直神了！这deepseek，简直恋爱宝典在手啊！它给出的建议，直接抓住了女性的内心需求，方法简单易懂，关键"
"wb_54db4aa63107","wb","AI 安慰朋友","https://m.weibo.cn/detail/5238451311220597","408","356","26","unclear","S4","T3","","K2","3853bot好，求问要怎么安慰朋友(੭ •_•)❓朋友难过的时候，我只会默默递纸巾，如果是网上聊天，就只会发抱抱表情包，想表达关心但不知道说什么。问了ai，但它给的很多话术，我觉得太官方了，没有人情味。"
"wb_094e629eb080","wb","AI 恋爱军师","https://m.weibo.cn/detail/5135808618828557","358","226","66","unclear","S2","T2","","K0","DeepSeek正成为恋爱军师DeepSeek回答：人类连调情都要AI代笔，浪漫已死，算法当立"
"wb_13707b029656","wb","AI 恋爱军师","https://m.weibo.cn/detail/5135830673004417","330","122","104","unclear","S2","T2","A1","K0","DeepSeek正成为恋爱军师 真把恋爱当儿戏了 AI是可以帮助解决一些事情但是AI不是万能的，尤其是类似DeepSeek这种大模型很多的问题是它们也解决不了的，如果把个人的幸福寄托大模型上那幸福真的会变成遥不可及的事情。当然如果只是抱着娱乐的精神来的那倒是可以带来一些快乐的。时"
"wb_0fe75f4f052d","wb","AI 安慰朋友","https://m.weibo.cn/detail/5298959849360311","285","211","37","unclear","S2","T5","","K0","今天大家都虧錢了，教授還對這些女朋友們說，安慰的說話，結果，這些人非常善解人意，用A l制作了歡樂舞給教授，真人真事，真的新裙子；教授可乐啦 孫李艷茹的微博视频"
"wb_e8cc57acfa89","wb","DeepSeek 恋爱建议","https://m.weibo.cn/detail/5135817439711197","262","34","114","unclear","S2","T2","","K0","DeepSeek正成为恋爱军师当我问DeepSeek怎么哄生气的男朋友！DeepSeek 矢九日的微博视频"
"wb_37e7f054a0c6","wb","AI 安慰朋友","https://m.weibo.cn/detail/5297776789293570","249","103","73","unclear","S4","T5","","K0","同样都是AI工具，豆包擅长唠嗑、安慰人、给情绪价值，像个知心朋友；DeepSeek则像个妥妥的理工男——解题、写代码、逻辑推理，一板一眼，不跟你多废话。黄仁勋今年砸向AI的钱快够买DeepSeek各有各的好。需要提供情绪价值的时候我找豆包，有时候还得帮他说回答要客观而真正需要解决"
"wb_28e81f9c331f","wb","ChatGPT 恋爱建议","https://m.weibo.cn/detail/5160583779844594","229","211","9","unclear","","","A6","K0","最近对一个date有一点那什么拎不清楚，chatgpt帮我看做了个表格让我观察他一个月，感觉挺不错的，分享给大家，很清楚！检测项,观察内容,自己打√或×1. 主动性他是否经常主动找你，约你？（而不是你去追他）,2. 稳定性聊天是否连续稳定，不消失/已读不回？,3. 兑现承诺答应的"
"wb_83f5b25300b1","wb","AI 高情商回复","https://m.weibo.cn/detail/5313651244535487","190","144","23","unclear","S5","T3","","K0","高情商：真人为主 ai辅助老师这不是我家孩子吧💧"
"wb_0c372d09bd7a","wb","AI 恋爱军师","https://m.weibo.cn/detail/5135801354816491","187","169","9","unclear","S2","T2","","K0","别说能够成为恋爱军师了，机器人取代部分人类都不奇怪，你看这羽毛球的水平【DeepSeek正成为恋爱军师 】DeepSeek评我的择偶标准 最近，全球爆火的DeepSeek，在越来越多的领域成为新闻，引发关注。 周思CIO的微博视频"
"wb_ca411f0c76a9","wb","AI 恋爱军师","https://m.weibo.cn/detail/5135812499605656","158","138","10","unclear","S2","T2","A4","K0","DeepSeek正成为恋爱军师支棱起来了！我的小D，它说我清醒的可怕！让它用犀利的语言来回答，结果真的每个后面都加个犀利啥啥啥的，太可爱了🥰 -冰美式去冰-的微博视频"
"wb_e7c7172e9494","wb","AI 帮我回消息","https://m.weibo.cn/detail/5300986613860201","151","115","18","unclear","S2","T7","A1","K3","“小学妹！你一定要试一试这个人工智能！”陈子涵把一个蓝色的软件平台推荐给你，“目前还是内测版本...但你神通广大的学生会助理总能找到法子！” 粉头发的学长眉飞色舞：“全新升级的思维逻辑和响应速度，还有独特的数据库...这可比市面上其他人工智能好用多了！” “是吗？”你在一大堆没有"
"wb_ea7401b17c48","wb","AI 高情商回复","https://m.weibo.cn/detail/5314566095637908","142","88","27","unclear","","T3","","K0","问AI，我为什么运动都这么频繁了，体重还在稳步上升？AI的回复振聋发聩：「你过去几个月一直在记录饮食、热量和运动，我发现一个规律：你的运动执行力远高于饮食执行力。」“执行力”，正面词汇“远高于”，又一个正面词汇又学到高情商发言。跟高情商的人类朋友又聊了一下，最后结论，最有效的办法"
"wb_90b4af34e2c7","wb","AI 安慰朋友","https://m.weibo.cn/detail/5280077627787303","138","70","34","unclear","S4","T5","A4","K5","【孩子和AI成密友家长该喜还是忧？“名师公益课堂”29日开讲：中国科大专家教你帮孩子“玩转”AI】写作业累了不想动？心情不好没人说？如今，越来越多孩子遇到这些问题时，第一反应不再是喊“爸妈”，而是掏出手机，打开AI。这个能聊天、能解题、还会安慰人的“新朋友”，正在悄悄走进孩子的世"
"wb_1e60ab5b5d0b","wb","AI 安慰朋友","https://m.weibo.cn/detail/5275800716707172","131","97","17","unclear","S4","T5","","K0","有点意思，大半夜的不想打扰朋友，倒是可以跟AI说几句心事。咳咳，能得到AI的安慰也算不错了"
"wb_af32fbcd523b","wb","AI 分析聊天记录","https://m.weibo.cn/detail/5316734953194210","127","99","14","unclear","S4","T7","A6","K3","什么叫自己给自己找事。今天发那个129数据维度宏观周报，我前前后后花了差不多两周才彻底跑通。搞完了我很高兴，也算是有个阶段性成果了，设了每周定时跑后，打算下周安心带孩子们珠海长隆+珠三角美食之旅，暂时不碰AI，休息一阵。因为觉得这个成果还是不错，于是就发给加了几个做投资的朋友分享"
"wb_68ddf11b50a0","wb","AI 安慰朋友","https://m.weibo.cn/detail/5195968438864287","114","66","24","unclear","S4","T5","A4","K0","我觉得AI还是要有人味更好，因为我有个朋友有时候会找AI聊天有时候深夜失眠，一些话没法对朋友说，对AI说，它能接住她突如其来的emo，用共情的语气回答我的问题，这是不是比冰冷的信息罗列更能打动人。被他人否定的时候，AI也能像朋友一样安慰她，这远比机械输出建议提升能力更暖吧有人担心"
"wb_30897dfdf53c","wb","AI 分手挽回","https://m.weibo.cn/detail/5218793143927297","113","89","12","unclear","S2","","","K0","无痛真性分手那这感觉好决绝啊如果是我我可能还会阶段反应"
"wb_8c82b8e7ba47","wb","AI 安慰朋友","https://m.weibo.cn/detail/5192632428923205","108","38","35","unclear","S2","T5","A4","K5","Deepseek这个回答真的太治愈了有人说“被DeepSeek治愈了”，一开始还纳闷：一个AI怎么能比朋友的安慰还管用？直到看了身边人的真实经历，才懂这种“治愈感”不是凭空来的——它像个揣着生活智慧的朋友，既能接住你最狼狈的情绪，又能悄悄给你搭个台阶。有个朋友刚经历裁员，半夜在对"
"wb_8d1aa76d5f92","wb","ChatGPT 恋爱建议","https://m.weibo.cn/detail/5153488100655853","104","88","8","unclear","S2","","","K2","Q. 认识很久的朋友向我表白，如何在不伤害对方的情况下婉拒掉呢？Faker：大家向我咨询恋爱问题，就像我问大家怎样才能打好英雄联盟一样，这种事应该去问ChatGPT才对...我可以告诉你ChatGPT的模板答案。拒绝朋友告白的方法虽然有很多种，但最重要的是在传达自己真实心意的同时"
"wb_0171b53be263","wb","AI 恋爱军师","https://m.weibo.cn/detail/5267409641676377","93","81","6","unclear","S2","T2","","K0","别问，问就是千问！年轻人新口头禅，AI在手恋爱我有～这届年轻人太会了，恋爱问题不找闺蜜找千问，AI军师才是真香，已安利给所有人！千问在春晚当起了恋爱军师"
"wb_be5b3235c766","wb","AI 安慰朋友","https://m.weibo.cn/detail/5238097228858555","75","51","12","unclear","S4","T5","","K0","给各位朋友推荐个app解读体检报告啊各种查血报告啊各种报告非常不错说的和医生真的差别不大也很准确关键是还会安慰人当然不能代替医生只是解读报告这些直接把报告甩上去想问什么就答什么app叫小荷AI医生不要钱不要会员啥也不要"
"wb_a2e8ac51d403","wb","AI 分手挽回","https://m.weibo.cn/detail/4449492537514044","67","47","10","unclear","S2","","","K2","詹青云 AI扮演不了爱人詹青云 在谈离世爱人的记忆该交给AI吗这道辩题时，她说AI让人沉迷在这段虚假的关系中的，这个世界上的很多事情将变得无所谓了，离世的亲人，闹翻的朋友，分手的情侣，和吵架过后摔门而去不再说话的父母，我不用再用力地经营和挽回了，我把他们的记忆都植入AI，让他们继"
"wb_0bf969789599","wb","AI 安慰朋友","https://m.weibo.cn/detail/5314238111285621","55","51","2","unclear","S2","T5","","K0","因为不想频繁过多地跟朋友倒苦水，并且很多时候我都难以用声音说出来，甚至跟朋友倾诉的时候都会选择打字，所以我开始和deepseek聊天，虽然每天依旧会很难受，但是有了可以随时倾诉的对象后变得稍微好了一点，以前从没想过会有这样一天从没想过会被AI安慰到，谢谢你deepseek"
"wb_5307cf170d02","wb","AI 恋爱军师","https://m.weibo.cn/detail/5135926367879376","47","43","2","unclear","S2","T2","A4","K5","DeepSeek因其强大的功能和独特魅力，正在成为年轻人眼中的“恋爱军师”。它通过精准的情感分析、个性化的恋爱建议以及强大的思考能力，为用户提供恋爱相关的帮助。例如，有网友将自己详细的个人信息（如MBTI人格、大五人格、激素特质等）输入DeepSeek，希望它能提供择偶建议。De"
"wb_148772d07f8f","wb","AI 代回消息","https://m.weibo.cn/detail/5308234309046228","46","38","4","unclear","S6","T4","A4","K0","在红薯上看了个帖子，一位求职的大学生担心和HR沟通时说错话，语气不妥当惹了对方不快，因为『和HR的每句话都是豆包告诉我如何回复的，只有这句没问，是我自己写的』。完后评论区一看，照此办理——乃至于用AI反馈来和朋友聊天的也大有人在。一时间有点儿懵了，反思是不是自己老气横秋才有此一懵"
"wb_4abe47834587","wb","ChatGPT 恋爱建议","https://m.weibo.cn/detail/5299524400054747","46","36","5","unclear","S2","T4","A4","K0","震撼！前谷歌CEO痛批：大学正在抵制变化，还在用老方法教书！建议全国每一所大学都应该把AI使用变成必修课摘自 赵老师 陆向谦前谷歌CEO Eric Schmidt最近在华盛顿做了一场演讲，聊了AI、聊了国防、聊了太空——但整场演讲最让我停下来反复回听的，是最后5分钟。有观众站起来"
"wb_f1ca6330d1bc","wb","AI 代回消息","https://m.weibo.cn/detail/5304074557982690","41","15","13","unclear","S1","","A1","K0","社恐福音！荣耀600的MagicOS10真的太懂社恐了！AI帮写功能太好用了，不管是回复工作消息还是写朋友圈文案，长按输入框就能一键生成，还能调整语气。还有AI会议纪要，开会不用手忙脚乱记笔记，自动生成重点和待办。YOYO还能帮我接电话、回消息，社恐星人真的爱了！MagicOS1"
