"comment_id","parent_post_id","platform","keyword","comment_text_clean","comment_role_label","comment_attitude_to_post","post_comment_consistency","comment_like_count","comment_reply_count","case_use","review_status"
"wb_ce0a730fdfca","wb_d2b9b0419d4f","wb","ChatGPT 恋爱建议","这么隐私的东西能共用我实在想不来","C4","concern","PC4","13","0","隐私边界担忧","kept_after_manual_review"
"wb_26b49e0424ea","wb_16279cbe1c6a","wb","AI 帮我回消息","AI写方案十分钟搞定，上瘾但别忘了自己掌舵","C4","concern","PC4","8","0","效率与依赖并存","kept_after_manual_review"
"wb_bcbb1accb33f","wb_62239a35907a","wb","AI 分析聊天记录","我觉得把对话发给AI=把别人的心事说给另一个人听。有点不太尊重 当时用了一个月deepseek觉得好蠢立马删了，只有解梦的时候才会用下网页版豆包。","C4","concern","PC4","7","4","上传聊天记录的尊重问题","kept_after_manual_review"
"wb_61506806d3f3","wb_16279cbe1c6a","wb","AI 帮我回消息","AI只是辅助工具自身思考万万不能丢","C4","concern","PC4","5","0","辅助工具边界","kept_after_manual_review"
"wb_769320ac28ed","wb_62239a35907a","wb","AI 分析聊天记录","也许这些人并不知道ai只是大语言模型，不过尽管如此，看到把ai奉为圭臬的发言还是想说，你们不要再依赖ai了啦","C4","concern","PC4","5","0","依赖风险提醒","kept_after_manual_review"
"wb_cdf53e341fdd","wb_4e3690316035","wb","AI 聊天记录隐私","以其聊天记录里的内容量。。。我是不敢开这权限","C4","","PC5","2","2","权限与聊天记录担忧","kept_after_manual_review"
"wb_5c51fa698377","wb_62239a35907a","wb","AI 分析聊天记录","除了工作回复领导，其他跟人对话用ai都很微妙。。。","C4","concern","PC4","2","0","人际对话使用AI的微妙感","kept_after_manual_review"
"wb_dae17c047eeb","wb_0a083c0b083b","wb","AI 分析聊天记录","ai瞎编乱造太频繁，用ai还需要自己有判断能力，基础知识，不能被ai牵着鼻子走","C4","concern","PC4","0","0","判断能力与误导风险","kept_after_manual_review"
"wb_78dd52ac20ac","wb_25fef776e8a5","wb","AI 分手挽回","原帖的焦点问题是：现在被发现了。而本质问题是：迟早会被发现的。核心冲突是：永远停留在造假的成本评估这一阶段。","C3","oppose","PC3","302","0","反对造假式挽回","kept_after_manual_review"
"wb_1d1175e754f7","wb_25fef776e8a5","wb","AI 分手挽回","想来想去也只有三个字 撒谎精 才不可能这辈子只骗了前女友一个人呢","C3","oppose","PC3","92","1","欺骗性质疑","kept_after_manual_review"
"wb_affbf2a01842","wb_25fef776e8a5","wb","AI 分手挽回","欺骗三年仅仅归结为虚荣心？肯定无法原谅","C3","oppose","PC3","55","0","无法原谅的欺骗","kept_after_manual_review"
"wb_0850ee81dab8","wb_c608018d3037","wb","AI 代聊","这几个认为自己并没有骗人的人摆出的理由明显证明了他们就是在骗人。是在利用和欺骗对方。自己不想付出时间和感情，虚构出另一个虚假（不是所谓的拓展，就是虚假）的人格去欺骗他人的感情，垃圾至极。包括那个自闭的女性。","C3","oppose","PC3","15","0","AI代聊伦理反对","kept_after_manual_review"
"wb_9c160bb280e9","wb_c608018d3037","wb","AI 代聊","很多人的生活基于撒谎和表演，AI只不过是提供给他们另一种捷径去达到目的。","C3","oppose","PC3","3","0","AI作为欺骗捷径","kept_after_manual_review"
"wb_00f08606b135","wb_7ebacbfa8458","wb","AI 安慰朋友","因为ai会顺着你的话来讲，不过感觉用久了也有弊端，一是ai给出的信息很多都不真实，二是被哄多了真的意识不到自己有没有问题的🏳️","C3","oppose","PC3","1","0","顺从性和真实性风险","kept_after_manual_review"
"wb_ad249aba95dc","wb_e077a8642396","wb","AI 分析聊天记录","AI：我读取的全是套路，没一点真心 [语音评论5&quot;]","C3","oppose","PC3","0","0","代聊真诚性质疑","kept_after_manual_review"
"wb_ef4dd7e73a0b","wb_8fbe5978c200","wb","AI 分析聊天记录","AI和她能一样吗","C3","oppose","PC3","0","0","AI不可替代真人","kept_after_manual_review"
"wb_3a2112076f51","wb_7ebacbfa8458","wb","AI 安慰朋友","我用人工智能翻译的同时也在学中文，AI有时候确实挺有用的。我觉得我们只需要学会适度使用它，不要过度依赖就好","C2","support","PC4","4","1","适度使用的支持态度","kept_after_manual_review"
"wb_c05874d41b6e","wb_ca411f0c76a9","wb","AI 恋爱军师","厉害啊，不是一味的坚持原则，当事人放弃的时候，又能及时奉承和安慰","C2","support","PC4","4","0","认可AI安慰能力","kept_after_manual_review"
"wb_3bc7ef283be4","wb_1e60ab5b5d0b","wb","AI 安慰朋友","Ai已经是我主要的情绪支持来源","C2","support","PC4","4","2","AI作为情绪支持","kept_after_manual_review"
"wb_156106592920","wb_0bf969789599","wb","AI 安慰朋友","可以和g和克说，也很贴心，还可以收获几份不一样的分析","C2","support","PC4","2","0","多工具分析建议","kept_after_manual_review"
"wb_05d50db4d0e2","wb_13707b029656","wb","AI 恋爱军师","AI如DeepSeek在恋爱方面确实有帮助，但不能代替真正的情感交流和人际互动","C2","support","PC1","1","1","有帮助但不能替代交流","kept_after_manual_review"
"wb_5d7103b5baf8","wb_37e7f054a0c6","wb","AI 安慰朋友","确实是这样。豆包会安慰人，但信息不太准。","C2","support","PC4","1","1","会安慰但信息不准","kept_after_manual_review"
"wb_cd368131b859","wb_e8cc57acfa89","wb","DeepSeek 恋爱建议","deepseek确实挺强大","C2","support","PC4","1","0","认可工具能力","kept_after_manual_review"
"wb_b4b0355f7ea6","wb_089bd5020ed6","wb","DeepSeek 恋爱建议","很有用 码住","C2","support","PC4","0","0","简单支持","kept_after_manual_review"
"wb_1086e78d7ab1","wb_54db4aa63107","wb","AI 安慰朋友","我也是，平常都嘻嘻哈哈的 一到该安慰别人的时候都不知道说啥","C1","joke","PC4","13","1","不会安慰的共鸣经验","kept_after_manual_review"
"wb_bd52bf07a383","wb_3cc9da223575","wb","AI 分析聊天记录","是的🙂↕️内容管理真的好重要啊、虽然每次新开一个窗口都会觉得在浪费力气 但是同样的内容 在不同的窗口感受到的信息量 生成的回复都很不一样！我也接受人就是通过一些遗忘以及更新自己的想法中长大 ai看起来好像忘不了所以它蠢蠢的、我还生气为什么它又忘记了我说过不是这样了 原来是这个原因！","C1","","PC5","10","0","AI上下文管理经验","kept_after_manual_review"
"wb_5633d041e168","wb_3cc9da223575","wb","AI 分析聊天记录","我前几天还实践了一下，给AI指令“我要新开一个对话继续改善稿子，请总结我的要求和我们的聊天内容，转化为下一个对话的初始part，让它理解上下文，帮助我完成这篇稿子“，然后把回复开一个新对话框，确实会好一些，但是“灵光“的闪现也很短暂就是了。","C1","support","PC1","2","0","提示词实践经验","kept_after_manual_review"
