"comment_id","parent_post_id","platform","keyword","comment_text_clean","comment_role_label","comment_attitude_to_post","post_comment_consistency","comment_like_count","comment_reply_count"
"wb_ec12f4bc2209","wb_b8a8a3556c4a","wb","AI 分析聊天记录","这是哪家的AI，我去试试我和我老板的聊天记录","C4","","PC5","1576","15"
"wb_6fb3fc75977e","wb_5a0099ea1974","wb","AI 分手挽回","唯一的坏处是时不时说我违反他们的管理准则我又不发出去就自己看看，管这么严","C4","","PC5","36","0"
"wb_abf0dbd5c68b","wb_2cb51e4ce93f","wb","AI 分析聊天记录","腾系的社交软件既存储聊天记录于用户本地设备又不让用户自己掌握数据，全世界独一份的流氓。","C4","","PC5","14","0"
"wb_ce0a730fdfca","wb_d2b9b0419d4f","wb","ChatGPT 恋爱建议","这么隐私的东西能共用我实在想不来","C4","concern","PC4","13","0"
"wb_26b49e0424ea","wb_16279cbe1c6a","wb","AI 帮我回消息","AI写方案十分钟搞定，上瘾但别忘了自己掌舵","C4","concern","PC4","8","0"
"wb_bcbb1accb33f","wb_62239a35907a","wb","AI 分析聊天记录","我觉得把对话发给AI=把别人的心事说给另一个人听。有点不太尊重 当时用了一个月deepseek觉得好蠢立马删了，只有解梦的时候才会用下网页版豆包。","C4","concern","PC4","7","4"
"wb_78dd52ac20ac","wb_25fef776e8a5","wb","AI 分手挽回","原帖的焦点问题是：现在被发现了。而本质问题是：迟早会被发现的。核心冲突是：永远停留在造假的成本评估这一阶段。","C3","oppose","PC3","302","0"
"wb_1d1175e754f7","wb_25fef776e8a5","wb","AI 分手挽回","想来想去也只有三个字 撒谎精 才不可能这辈子只骗了前女友一个人呢","C3","oppose","PC3","92","1"
"wb_affbf2a01842","wb_25fef776e8a5","wb","AI 分手挽回","欺骗三年仅仅归结为虚荣心？肯定无法原谅","C3","oppose","PC3","55","0"
"wb_0850ee81dab8","wb_c608018d3037","wb","AI 代聊","这几个认为自己并没有骗人的人摆出的理由明显证明了他们就是在骗人。是在利用和欺骗对方。自己不想付出时间和感情，虚构出另一个虚假（不是所谓的拓展，就是虚假）的人格去欺骗他人的感情，垃圾至极。包括那个自闭的女性。","C3","oppose","PC3","15","0"
"wb_9c160bb280e9","wb_c608018d3037","wb","AI 代聊","很多人的生活基于撒谎和表演，AI只不过是提供给他们另一种捷径去达到目的。","C3","oppose","PC3","3","0"
"wb_00f08606b135","wb_7ebacbfa8458","wb","AI 安慰朋友","因为ai会顺着你的话来讲，不过感觉用久了也有弊端，一是ai给出的信息很多都不真实，二是被哄多了真的意识不到自己有没有问题的🏳️","C3","oppose","PC3","1","0"
"wb_1c6de419c803","wb_48d71467a057","wb","AI 代聊","这类人凑在一起必做的事就是互相吹牛","C2","","PC5","87","0"
"wb_3a2112076f51","wb_7ebacbfa8458","wb","AI 安慰朋友","我用人工智能翻译的同时也在学中文，AI有时候确实挺有用的。我觉得我们只需要学会适度使用它，不要过度依赖就好","C2","support","PC4","4","1"
"wb_c05874d41b6e","wb_ca411f0c76a9","wb","AI 恋爱军师","厉害啊，不是一味的坚持原则，当事人放弃的时候，又能及时奉承和安慰","C2","support","PC4","4","0"
"wb_3bc7ef283be4","wb_1e60ab5b5d0b","wb","AI 安慰朋友","Ai已经是我主要的情绪支持来源","C2","support","PC4","4","2"
"wb_414fe9c92b85","wb_3cc9da223575","wb","AI 分析聊天记录","在用AI时，确实有“串台”的情况！ 最近很忧虑AI提供答案的准确性，有时候会觉得它在 一本正经的 胡说八道。 后来了解到AI是整合思维，把网上 他者 对问题的回答，整合在一起，答案的准确性取决于“他者”的水平，但是网上的“很多他者”不懂还乱说的情况太多了。 准确性 是我在使用AI上最担忧的了。","C2","support","PC1","3","1"
"wb_d688957d5074","wb_0171b53be263","wb","AI 恋爱军师","这个智能小助理好用吗？有没有用过的评价一下","C2","support","PC4","2","0"
"wb_3614e98c032f","wb_8fbe5978c200","wb","AI 分析聊天记录","我把你群离岛的4w多条微博喂给ai，读取后告诉我此人没有性生活，让人忍俊不禁","C1","joke","PC4","44","2"
"wb_1086e78d7ab1","wb_54db4aa63107","wb","AI 安慰朋友","我也是，平常都嘻嘻哈哈的 一到该安慰别人的时候都不知道说啥","C1","joke","PC4","13","1"
"wb_1f8b19aaf309","wb_5a0099ea1974","wb","AI 分手挽回","我也是………………玩了两整天睁眼是cai闭眼也是cai","C1","","PC5","10","14"
